(1058633034, 2)(1556617522, 1)(2993467250, 1)(3877226060, 1)(0, 0)(0, 0)(0, 0)
(1780766918, 1)(2814351572, 1)(3712214893, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(2246715538, 3)(2413899076, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1292605338, 1)(1636410484, 1)(3002708122, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1942889839, 8)(2056870261, 2)(2107743595, 1)(3009021962, 1)(0, 0)(0, 0)(0, 0)
(155567481, 1)(462172287, 1)(3064588316, 4)(3942486149, 1)(0, 0)(0, 0)(0, 0)
(363372154, 1)(2684163186, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(113406325, 2)(2073660771, 8)(4292292738, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(146554766, 3)(667877229, 1)(1052336782, 1)(1340794480, 1)(0, 0)(0, 0)(0, 0)
(1502157175, 2)(1989840227, 7)(3147468131, 1)(3695436937, 3)(0, 0)(0, 0)(0, 0)
(1839391085, 1)(3009198457, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(75261003, 3)(2866972417, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(535310738, 1)(1942217069, 1)(1959108146, 2)(3774994630, 2)(0, 0)(0, 0)(0, 0)
(536679012, 4)(1814996084, 1)(2374935668, 2)(2911174729, 2)(0, 0)(0, 0)(0, 0)
(2344644391, 1)(2813988738, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3535429839, 2)(4078305353, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2235274097, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(378409281, 2)(2149595422, 1)(3124750227, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(190395010, 3)(671984241, 1)(1926625858, 3)(2539701115, 1)(0, 0)(0, 0)(0, 0)
(36681172, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2072335316, 1)(2454968698, 1)(2485752788, 1)(3127070324, 1)(0, 0)(0, 0)(0, 0)
(513506933, 2)(2319623284, 2)(2497535124, 1)(3638856228, 2)(0, 0)(0, 0)(0, 0)
(453480035, 4)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(768414223, 2)(1376015220, 4)(1656654938, 1)(4274384498, 1)(0, 0)(0, 0)(0, 0)
(287879026, 1)(1368854341, 2)(4277022756, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(776221405, 2)(3503070740, 8)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1762310777, 1)(1957097515, 11)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1307180759, 1)(4040657444, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1123689839, 6)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(697482441, 2)(846594687, 2)(1616377726, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1177650041, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(999031097, 1)(1015186633, 1)(3895326294, 5)(0, 0)(0, 0)(0, 0)(0, 0)
(19827732, 2)(1476210318, 4)(2747466297, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(509077532, 1)(1900600265, 1)(4070087892, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(238017662, 1)(913214330, 1)(1792585073, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(102638991, 3)(316980331, 1)(1571524388, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(324403405, 2)(2697049895, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1742382196, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(176774086, 1)(2211159558, 3)(2290472348, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1410465865, 2)(2529026925, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(301309036, 3)(2231173716, 1)(4204146724, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(385566080, 2)(959334772, 4)(1301974371, 4)(4229038990, 2)(0, 0)(0, 0)(0, 0)
(276631939, 1)(299168043, 1)(556327441, 1)(3241070090, 1)(4139107532, 1)(0, 0)(0, 0)
(2528244919, 4)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2092098250, 1)(3048113791, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1140121783, 3)(2643297382, 1)(3908730491, 1)(4163999415, 1)(0, 0)(0, 0)(0, 0)
(182658415, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1388596843, 2)(3874632800, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(318176439, 4)(1306073975, 1)(1464324535, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(232940610, 4)(3395400660, 3)(3481873017, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(208621425, 1)(566121508, 2)(693414786, 1)(910174365, 3)(0, 0)(0, 0)(0, 0)
(2922964227, 1)(3226262891, 2)(4264633474, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1575794141, 3)(2967826249, 1)(3806286884, 2)(3866112898, 1)(0, 0)(0, 0)(0, 0)
(733286258, 1)(2158371657, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2052844572, 1)(2348570741, 1)(2893084367, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(339286225, 2)(2463343732, 1)(2932712049, 2)(3976427372, 2)(0, 0)(0, 0)(0, 0)
(2508383597, 1)(2749247524, 1)(4166092927, 3)(4223239237, 1)(0, 0)(0, 0)(0, 0)
(1463668858, 1)(1476129493, 1)(2815204884, 1)(3247262859, 1)(4171231004, 1)(0, 0)(0, 0)
(46918406, 1)(175977090, 1)(949216621, 1)(2111768163, 1)(2392028225, 3)(0, 0)(0, 0)
(205127719, 2)(1573756436, 3)(2296993060, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(171553142, 1)(867511405, 1)(3444214892, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(2154950428, 1)(2338221860, 2)(4020242186, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1873080676, 5)(1964776044, 1)(3332138315, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1039312862, 1)(2521682280, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2457132215, 1)(2690914617, 3)(3912618709, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(29381337, 2)(1963464231, 2)(2453944065, 1)(2921899124, 1)(0, 0)(0, 0)(0, 0)
(1232533199, 1)(2125390189, 4)(3861065764, 1)(4246296341, 2)(0, 0)(0, 0)(0, 0)
(1058786415, 3)(3776133760, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3725924205, 1)(4203557984, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(220438937, 2)(1412991103, 3)(2235636822, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1184674772, 7)(2447033271, 1)(3616300436, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1706643921, 1)(4061399004, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(514311774, 1)(2866586740, 3)(4293365451, 3)(0, 0)(0, 0)(0, 0)(0, 0)
(173589958, 1)(295120932, 1)(420808058, 1)(1334140825, 1)(0, 0)(0, 0)(0, 0)
(1472165744, 1)(2689442932, 3)(3660424308, 3)(3856238884, 1)(0, 0)(0, 0)(0, 0)
(1258961861, 2)(3571117062, 1)(3759681572, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(573373988, 1)(1095418039, 1)(2913659771, 1)(3244690042, 2)(0, 0)(0, 0)(0, 0)
(220803108, 1)(2205003378, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(175582791, 1)(2014311828, 1)(2239224442, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(3159542088, 2)(3402221970, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3343639361, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1723930930, 1)(2529360932, 2)(2972117276, 2)(3475676009, 1)(0, 0)(0, 0)(0, 0)
(1117813973, 1)(2289848186, 1)(2923268388, 1)(3032453579, 1)(4255444748, 1)(0, 0)(0, 0)
(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(13410929, 1)(2731595628, 1)(4118979700, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(483209252, 6)(982733179, 1)(1577785467, 1)(1861459462, 3)(0, 0)(0, 0)(0, 0)
(483978780, 3)(847924832, 2)(1033926517, 1)(1960389845, 1)(2375837910, 1)(0, 0)(0, 0)
(2131031902, 1)(2647175026, 2)(4208343407, 4)(4254669420, 1)(0, 0)(0, 0)(0, 0)
(1059588311, 2)(4107050516, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1918207874, 1)(2581530211, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(565757351, 1)(4023229972, 5)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(176925711, 2)(3462410276, 1)(3741163058, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(351516343, 1)(3708244852, 1)(3886188836, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(205722497, 1)(548596252, 1)(639740998, 5)(1369693245, 2)(1844242198, 1)(0, 0)(0, 0)
(381592400, 1)(1045090354, 1)(1402541001, 4)(2341455478, 3)(3328150856, 1)(3715390098, 1)(0, 0)
(2909760126, 5)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(718138908, 1)(2086747193, 2)(2394921172, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(98439640, 2)(2992492215, 1)(3251640959, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(636232808, 2)(1072206086, 1)(3698807844, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(72783758, 3)(1035761520, 1)(3257879897, 3)(0, 0)(0, 0)(0, 0)(0, 0)
(1412780324, 2)(2597266799, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(28151588, 2)(3975595980, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(276174898, 1)(2123061621, 2)(2380214142, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(19682817, 2)(4065109108, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(94303700, 1)(3108071294, 1)(3447168369, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2823660660, 3)(3523887303, 1)(3974095725, 2)(4068737097, 1)(4183693695, 1)(0, 0)(0, 0)
(1187789617, 2)(2098140882, 2)(2430827471, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2031329606, 3)(2169948819, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1312899343, 1)(1975199606, 4)(3654296785, 2)(3790786916, 2)(0, 0)(0, 0)(0, 0)
(224754046, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(519785936, 3)(1161448559, 1)(1898121994, 1)(2399018116, 1)(4226454475, 1)(0, 0)(0, 0)
(125871220, 1)(2410548090, 1)(2977904070, 1)(3591562093, 1)(0, 0)(0, 0)(0, 0)
(146610489, 1)(197419719, 1)(505644247, 2)(949062527, 2)(3011442383, 2)(0, 0)(0, 0)
(1807779650, 2)(2768633895, 4)(3459671675, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(840582561, 2)(2530251014, 2)(3094945496, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1900192884, 3)(2860320890, 1)(3748832372, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(2158659791, 1)(2303986637, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1828056187, 1)(1958633679, 3)(2609805169, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(844461416, 3)(1909567927, 2)(3365577734, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(351133138, 1)(1034347373, 2)(2115542891, 2)(4286699477, 1)(0, 0)(0, 0)(0, 0)
(3352357404, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3050064650, 1)(3105489956, 15)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1861887343, 4)(4007540077, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(594532729, 3)(1525325202, 2)(1584948290, 6)(2449000851, 6)(0, 0)(0, 0)(0, 0)
(1650103595, 3)(3874205554, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(963649548, 4)(2325947148, 1)(2561342579, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1183102585, 2)(2341399302, 3)(2394469559, 1)(3485483732, 1)(0, 0)(0, 0)(0, 0)
(2554897524, 3)(2648220788, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(861089828, 1)(1346713666, 2)(3515244436, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1852943730, 1)(2143626957, 1)(3023776714, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2089092709, 2)(3113240789, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(607964271, 2)(2763904886, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(755590782, 1)(1115949525, 2)(1921269709, 1)(3842178370, 1)(0, 0)(0, 0)(0, 0)
(224887859, 3)(1397275149, 1)(2881133641, 6)(3960959389, 1)(0, 0)(0, 0)(0, 0)
(381986442, 2)(1316619898, 4)(3894614914, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(885753666, 1)(3040602140, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(488671615, 4)(757809781, 2)(903400318, 3)(2583629772, 1)(2931429391, 1)(0, 0)(0, 0)
(887800969, 2)(1208669540, 1)(1257234836, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(262964737, 1)(1093997264, 3)(1804733303, 2)(4034565223, 1)(0, 0)(0, 0)(0, 0)
(72262772, 1)(1222771243, 3)(2831104303, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(115815789, 1)(2151739771, 1)(3488232834, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1182615413, 1)(4096762996, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(852398342, 2)(1338650660, 2)(3053392760, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(446861458, 1)(681763693, 2)(1127802224, 2)(1734338588, 1)(4220070521, 2)(0, 0)(0, 0)
(27776832, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3571098711, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2645329279, 1)(3465684053, 1)(3659114959, 3)(3725963959, 1)(0, 0)(0, 0)(0, 0)
(444980434, 1)(2830067857, 1)(4250829875, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1603904518, 1)(2753670770, 1)(3069497711, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(450218113, 1)(2849369714, 2)(3369610451, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(1851648887, 1)(3973005676, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2701729995, 2)(3716030615, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(300484412, 1)(631154545, 1)(1612082983, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(779858330, 1)(1437370239, 1)(3018767799, 1)(3154178231, 1)(3469581844, 3)(0, 0)(0, 0)
(950195250, 1)(1153445924, 1)(1665602565, 1)(3153732975, 1)(3739057107, 1)(0, 0)(0, 0)
(317709778, 1)(445958601, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(2934412414, 2)(3806996553, 2)(3833579905, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2369596019, 2)(2974608924, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(627500656, 1)(3886630261, 2)(3928059031, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1077088205, 3)(3213147337, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(4173339263, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3945680217, 5)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1635615077, 1)(3655418822, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1792501432, 1)(3194424672, 2)(3501171639, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2383179208, 5)(3476669046, 1)(4206927543, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1255105743, 2)(1444682111, 1)(1615570036, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1421270546, 2)(1489215026, 1)(2070012269, 1)(4045296853, 4)(0, 0)(0, 0)(0, 0)
(2726955166, 1)(2980708621, 1)(3332017507, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(442845812, 2)(551160377, 1)(3194291578, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(50908715, 4)(917900602, 3)(1031777501, 2)(2605556852, 2)(3520963700, 1)(0, 0)(0, 0)
(452457620, 2)(2254761793, 4)(3401034957, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(2112906306, 1)(4011742325, 1)(4096529559, 2)(4218162560, 1)(0, 0)(0, 0)(0, 0)
(901951862, 2)(1370042404, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(4291436331, 7)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3010506084, 6)(4038552190, 4)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1803323684, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(260716253, 1)(1626190475, 2)(3056300610, 1)(3162578818, 1)(3285702006, 1)(0, 0)(0, 0)
(348140632, 3)(2539495351, 2)(3113484445, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(247203427, 3)(619827670, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(646639031, 1)(2352655730, 1)(3042629260, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(119353380, 2)(415147191, 1)(2100830274, 3)(2108311157, 1)(3422098263, 3)(0, 0)(0, 0)
(253994100, 2)(740200520, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(783352137, 1)(854247272, 2)(2201890852, 3)(2460766603, 1)(0, 0)(0, 0)(0, 0)
(550280724, 2)(1097852781, 1)(3791292026, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(234431855, 1)(520506996, 2)(981188933, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(983587470, 2)(1095083124, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3919584868, 2)(4270347584, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1054869669, 1)(2851379593, 1)(3886010490, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(780484139, 2)(956897986, 1)(1559740562, 2)(1819357220, 2)(2422730900, 1)(0, 0)(0, 0)
(1455427148, 1)(1898423412, 1)(3055271189, 1)(3183781477, 1)(0, 0)(0, 0)(0, 0)
(213862005, 3)(517493115, 2)(4079398255, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(433184210, 1)(747084995, 1)(1006162559, 1)(1367840523, 1)(4271649676, 3)(0, 0)(0, 0)
(4171081911, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(22998907, 2)(220178801, 2)(1765911922, 2)(1858794765, 2)(2362750247, 2)(0, 0)(0, 0)
(1910444504, 1)(3973114630, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(327833089, 1)(1259619214, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(201323277, 1)(1983531329, 7)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1631110799, 1)(2159732764, 1)(3131936914, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1012843378, 1)(2405211654, 1)(3206950094, 1)(3283073805, 1)(3572551351, 1)(0, 0)(0, 0)
(2096676041, 4)(2632873840, 4)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1310562763, 1)(4252041482, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(379414221, 1)(684749242, 1)(3811781235, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1923624996, 1)(3174835403, 2)(3530755714, 1)(3623892032, 1)(3825746541, 1)(0, 0)(0, 0)
(479677579, 2)(543938487, 2)(2957799109, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(600593444, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(3309411437, 1)(3482248375, 2)(3619899402, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1128809904, 1)(2074068338, 7)(2154280743, 1)(3410581103, 2)(0, 0)(0, 0)(0, 0)
(497852343, 2)(1179347070, 2)(2117977225, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(2204974738, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(944173884, 1)(1424605558, 2)(4165138302, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(19449383, 1)(1808656451, 1)(2745970724, 1)(4080814346, 1)(0, 0)(0, 0)(0, 0)
(1255348485, 1)(1504504070, 1)(3714207909, 2)(3863376468, 2)(0, 0)(0, 0)(0, 0)
(9539846, 1)(2005132580, 4)(3719436485, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(523283866, 1)(2955666800, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(215710675, 1)(1528332433, 1)(3380777222, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1682049426, 7)(2598352167, 1)(2892319608, 1)(2949347727, 2)(0, 0)(0, 0)(0, 0)
(3844794652, 1)(3868705177, 6)(4056951909, 1)(0, 0)(0, 0)(0, 0)(0, 0)
