43: (0, 0) (455491594, -1) (0, 0) 
85: (245374898, -1) (0, 0) (0, 0) 
116: (0, 0) (4129203316, 1) (0, 0) 
173: (581299835, -1) (0, 0) (0, 0) 
177: (1604215501, -1) (0, 0) (0, 0) 
179: (0, 0) (2698950263, 4) (0, 0) 
222: (0, 0) (2630546777, 5) (0, 0) 
323: (0, 0) (1363344749, 1) (0, 0) 
384: (0, 0) (0, 0) (1130514684, 7) 
471: (4291198212, -2) (0, 0) (0, 0) 
507: (1240332665, -1) (0, 0) (0, 0) 
531: (4223032961, -1) (0, 0) (0, 0) 
620: (0, 0) (1508305044, 1) (0, 0) 
631: (0, 0) (0, 0) (2458520283, -1) 
787: (0, 0) (0, 0) (2672855273, 2) 
850: (1525231652, 1) (0, 0) (0, 0) 
852: (2941124730, 1) (0, 0) (0, 0) 
908: (1837052333, 2) (0, 0) (0, 0) 
945: (445893065, -1) (0, 0) (0, 0) 
1185: (0, 0) (4265321934, 1) (0, 0) 
1245: (0, 0) (1742957005, -1) (0, 0) 
1474: (1360218349, 2) (0, 0) (0, 0) 
1503: (1219556309, -1) (0, 0) (0, 0) 
1567: (0, 0) (1551892553, -1) (0, 0) 
1700: (0, 0) (0, 0) (2627054541, -1) 
1762: (0, 0) (0, 0) (2446730836, 1) 
1775: (0, 0) (2989659482, -1) (0, 0) 
1856: (0, 0) (0, 0) (163670754, 2) 
1881: (2341540219, -1) (0, 0) (0, 0) 
2037: (3238838844, -1) (0, 0) (0, 0) 
2098: (0, 0) (0, 0) (1548800277, -6) 
2105: (0, 0) (701954940, 3) (0, 0) 
2150: (828592353, 2) (0, 0) (0, 0) 
2220: (0, 0) (292435715, 2) (0, 0) 
2246: (0, 0) (0, 0) (3868673653, -1) 
2265: (0, 0) (3515335964, 2) (0, 0) 
2317: (0, 0) (3403134247, 1) (0, 0) 
2324: (0, 0) (0, 0) (4099075612, -1) 
2350: (2599207286, 1) (0, 0) (0, 0) 
2382: (0, 0) (0, 0) (333204341, -1) 
2416: (0, 0) (2448787462, 1) (0, 0) 
2546: (0, 0) (0, 0) (2985634838, 2) 
2597: (0, 0) (1247375140, 1) (0, 0) 
2626: (0, 0) (1912155961, -2) (0, 0) 
2744: (3316904917, 1) (0, 0) (0, 0) 
2759: (0, 0) (0, 0) (1903990323, 1) 
2819: (333791942, -1) (0, 0) (0, 0) 
2923: (0, 0) (3034808959, 1) (0, 0) 
3052: (0, 0) (0, 0) (2420543103, -1) 
3060: (0, 0) (1041457000, 1) (0, 0) 
3115: (0, 0) (2949160707, 3) (0, 0) 
3316: (1373515812, 1) (0, 0) (0, 0) 
3332: (0, 0) (0, 0) (3201999962, 3) 
3489: (0, 0) (0, 0) (2683347807, 1) 
3532: (739871524, 1) (0, 0) (0, 0) 
3580: (3109302308, 1) (0, 0) (0, 0) 
3610: (0, 0) (744544626, -5) (0, 0) 
3682: (0, 0) (961271670, 1) (0, 0) 
3823: (0, 0) (365309988, -1) (0, 0) 
3975: (1674774650, -1) (0, 0) (0, 0) 
4027: (733692290, -1) (0, 0) (0, 0) 
4131: (0, 0) (0, 0) (4153060045, -1) 
